"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "CSS", "XML", "comment", "blank", "total"
"/Users/heyulong/Documents/GitHub/PlayReversi/Database/db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/heyulong/Documents/GitHub/PlayReversi/Game/app.js", "JavaScript", 221, 0, 0, 0, 0, 0, 89, 56, 366
"/Users/heyulong/Documents/GitHub/PlayReversi/Game/game.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/heyulong/Documents/GitHub/PlayReversi/Game/reversi.js", "JavaScript", 502, 0, 0, 0, 0, 0, 57, 211, 770
"/Users/heyulong/Documents/GitHub/PlayReversi/Game/user.js", "JavaScript", 35, 0, 0, 0, 0, 0, 4, 5, 44
"/Users/heyulong/Documents/GitHub/PlayReversi/README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 14, 33
"/Users/heyulong/Documents/GitHub/PlayReversi/Routes/auth.js", "JavaScript", 53, 0, 0, 0, 0, 0, 29, 16, 98
"/Users/heyulong/Documents/GitHub/PlayReversi/Routes/game/gameApi.js", "JavaScript", 12, 0, 0, 0, 0, 0, 1, 4, 17
"/Users/heyulong/Documents/GitHub/PlayReversi/Routes/post.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 3, 14
"/Users/heyulong/Documents/GitHub/PlayReversi/Routes/rooms/index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/heyulong/Documents/GitHub/PlayReversi/Routes/user/index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 6, 3, 22
"/Users/heyulong/Documents/GitHub/PlayReversi/Routes/verifyToken.js", "JavaScript", 15, 0, 0, 0, 0, 0, 5, 4, 24
"/Users/heyulong/Documents/GitHub/PlayReversi/Socket/events/connected.js", "JavaScript", 43, 0, 0, 0, 0, 0, 3, 14, 60
"/Users/heyulong/Documents/GitHub/PlayReversi/Socket/events/index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/heyulong/Documents/GitHub/PlayReversi/Socket/events/test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/heyulong/Documents/GitHub/PlayReversi/Socket/listeners/connected.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/heyulong/Documents/GitHub/PlayReversi/Socket/listeners/disconnect.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/heyulong/Documents/GitHub/PlayReversi/Socket/listeners/index.js", "JavaScript", 17, 0, 0, 0, 0, 0, 4, 1, 22
"/Users/heyulong/Documents/GitHub/PlayReversi/Socket/listeners/test.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/heyulong/Documents/GitHub/PlayReversi/Socket/listeners/time.js", "JavaScript", 5, 0, 0, 0, 0, 0, 8, 3, 16
"/Users/heyulong/Documents/GitHub/PlayReversi/app.js", "JavaScript", 38, 0, 0, 0, 0, 0, 10, 14, 62
"/Users/heyulong/Documents/GitHub/PlayReversi/client/README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 1, 3
"/Users/heyulong/Documents/GitHub/PlayReversi/client/package-lock.json", "JSON", 0, 16219, 0, 0, 0, 0, 0, 1, 16220
"/Users/heyulong/Documents/GitHub/PlayReversi/client/package.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 1, 51
"/Users/heyulong/Documents/GitHub/PlayReversi/client/public/index.html", "HTML", 0, 0, 0, 21, 0, 0, 14, 3, 38
"/Users/heyulong/Documents/GitHub/PlayReversi/client/public/manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/App.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 6, 52
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Asset/img/reversi-logo-01.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Asset/loading.css", "CSS", 0, 0, 0, 0, 1023, 0, 118, 95, 1236
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Components/Game/Board/Row.jsx", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Components/Game/Board/index.jsx", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Components/Game/ScoreCounter/index.jsx", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 4, 35
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Components/Game/Square/index.jsx", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Components/Game/index.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 7, 23
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Components/Game/style/index.css", "CSS", 0, 0, 0, 0, 31, 0, 9, 8, 48
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Components/GameUserInfo/InfoBox.jsx", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 3, 45
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Components/GameUserInfo/index.jsx", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Components/LogoHeader/index.jsx", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Components/NavBar/index.jsx", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 5, 48
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Components/Room/RoomItem.jsx", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 6, 82
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Components/Room/RoomListTable.jsx", "JavaScript", 117, 0, 0, 0, 0, 0, 0, 4, 121
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Components/Room/RoomSearchBar.jsx", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 4, 67
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/Components/UserProfile/index.jsx", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 9, 49
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/View/Game/GamePlayPage.js", "JavaScript", 78, 0, 0, 0, 0, 0, 27, 12, 117
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/View/Game/JoinRoom.js", "JavaScript", 63, 0, 0, 0, 0, 0, 1, 5, 69
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/View/Game/Table.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 6, 61
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/View/Game/WaitingRoom.js", "JavaScript", 52, 0, 0, 0, 0, 0, 2, 7, 61
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/View/Game/index.js", "JavaScript", 17, 0, 0, 0, 0, 0, 1, 3, 21
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/View/Game/store/context.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/View/Login/RandomAvatar.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/View/Login/Register.js", "JavaScript", 186, 0, 0, 0, 0, 0, 4, 13, 203
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/View/Login/index.js", "JavaScript", 140, 0, 0, 0, 0, 0, 4, 13, 157
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/View/Login/store/context.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/View/Room/RoomList.js", "JavaScript", 62, 0, 0, 0, 0, 0, 2, 10, 74
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/context/UserContext.js", "JavaScript", 24, 0, 0, 0, 0, 0, 4, 7, 35
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/controller/user/getInfo.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/controller/user/login.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/controller/user/register.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/index.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 2, 14
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/model/apiConfig.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 7, 19
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/model/user/index.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/routes.js", "JavaScript", 66, 0, 0, 0, 0, 0, 21, 8, 95
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/service/socket.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/utils/checkAuth.js", "JavaScript", 10, 0, 0, 0, 0, 0, 2, 3, 15
"/Users/heyulong/Documents/GitHub/PlayReversi/client/src/utils/cookie.js", "JavaScript", 25, 0, 0, 0, 0, 0, 3, 5, 33
"/Users/heyulong/Documents/GitHub/PlayReversi/model/Game.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/heyulong/Documents/GitHub/PlayReversi/model/Room.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 3, 44
"/Users/heyulong/Documents/GitHub/PlayReversi/model/User.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 3, 41
"/Users/heyulong/Documents/GitHub/PlayReversi/package-lock.json", "JSON", 0, 2008, 0, 0, 0, 0, 0, 1, 2009
"/Users/heyulong/Documents/GitHub/PlayReversi/package.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 1, 36
"/Users/heyulong/Documents/GitHub/PlayReversi/utils/log.js", "JavaScript", 15, 0, 0, 0, 0, 0, 5, 4, 24
"/Users/heyulong/Documents/GitHub/PlayReversi/utils/random.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/heyulong/Documents/GitHub/PlayReversi/utils/validation.js", "JavaScript", 20, 0, 0, 0, 0, 0, 3, 6, 29
"Total", "-", 2606, 18337, 21, 21, 1066, 1, 437, 689, 23178