  1,Harvard University
  2,Stanford University
  3,Massachusetts Institute of Technology (MIT)
  4,"University of California, Berkeley (UCB)"
  5,Columbia University
  6=,"University of California, Los Angeles (UCLA)"
  6=,Yale University
  8,University of Pennsylvania
  9,Princeton University
  10,Cornell University
  11,New York University (NYU)
  12,University of Chicago
  13,Duke University
  14,Johns Hopkins University
  15,University of Southern California
  16,Northwestern University
  17,Carnegie Mellon University
  18,University of Michigan
  19,California Institute of Technology (Caltech)
  20,Brown University
  21=,Boston University
  21=,Rice University
  23,Georgetown University 
  24,University of Washington
  25,University of Texas at Austin
  26,"University of California, San Diego (UCSD)"
  27,Emory University
  28=,"University of California, Davis (UCD)"
  28=,Washington University in St. Louis
  30=,University of Rochester
  30=,Vanderbilt University
  32,Georgia Institute of Technology (Georgia Tech)
  33,University of Illinois at Urbana-Champaign
  34,George Washington University
  35=,Tufts University
  35=,University of Florida
  37,Dartmouth College 
  38,"University of North Carolina, Chapel Hill"
  39,University of Miami
  40,University of Notre Dame
  41=,Rutgers University - New Brunswick
  41=,"University of California, Irvine (UCI)"
  43=,Case Western Reserve University
  43=,"University of Illinois, Chicago (UIC)"
  45,"Stony Brook University, State University of New York"
  46,University at Buffalo SUNY
  47,Pennsylvania State University
  48=,Boston College
  48=,"University of Maryland, College Park"
  50,University of Virginia
  51,Syracuse University
  52,University of Wisconsin-Madison
  53,Purdue University
  54,Northeastern University
  55,"University of Minnesota, Twin Cities"
  56,Michigan State University
  57,Brandeis University
  58,The Ohio State University
  59,Drexel University
  60,University of Massachusetts Amherst
  61,Temple University
  62=,North Carolina State University
  62=,University of Colorado at Boulder
  64=,Lehigh University
  64=,Rensselaer Polytechnic Institute
  66,University of Hawaii at Manoa
  67,Tulane University
  68=,Howard University
  68=,University of Arizona
  68=,"University of Maryland, Baltimore County"
  71=,Binghamton University SUNY
  71=,Illinois Institute of Technology
  73,University of Pittsburgh
  74,New Jersey Institute of Technology (NJIT)
  75,"University of California, Santa Barbara (UCSB)"
  76,University of the Pacific
  77,Texas A&M University
  78,University of Denver
  79,"University of Massachusetts, Boston"
  80=,College of William & Mary
  80=,Florida State University
  82=,San Diego State University
  82=,University of Connecticut
  82=,Virginia Commonwealth University
  85=,Indiana University Bloomington
  85=,Worcester Polytechnic Institute
  87,University of Houston
  88,University of San Francisco
  89=,The University of Georgia
  89=,"University of Oklahoma, Norman"
  91,"Arizona State University, Tempe"
  92,Wake Forest University
  93,Southern Methodist University
  94=,Andrews University
  94=,"University of California, Santa Cruz (UCSC)"
  94=,University of Oregon
  97,University of Texas Dallas
  98=,Santa Clara University
  98=,University of Louisville
  100=,George Mason University
  100=,"Rutgers - The State University of New Jersey, Newark"
  100=,Virginia Polytechnic Institute (Virginia Tech)